encoder_value,roll_value,gyro_value,pid
-24,-3.519,0.91,111.702
-24,-3.528,0.869,120.175
-23,-3.535,0.674,101.759
-23,-3.541,0.419,116.412
-22,-3.547,0.234,97.957
-22,-3.55,-0.075,114.586
-22,-3.553,-0.344,121.351
-21,-3.555,-0.476,102.332
-21,-3.555,-0.614,115.04
-21,-3.555,-0.698,117.427
-21,-3.555,-0.65,116.425
-20,-3.555,-0.512,90.439
-20,-3.557,-0.39,96.068
-19,-3.558,-0.288,70.826
-19,-3.561,-0.165,76.149
-18,-3.563,-0.205,54.431
-18,-3.576,1.61,12.966
-16,-3.605,4.834,-123.025
-14,-3.635,4.119,-136.852
-10,-3.644,-0.234,-95.112
-6,-3.632,-4.198,-41.756
-4,-3.604,-7.033,29.861
-3,-3.563,-9.145,89.49
-3,-3.513,-10.28,138.375
-5,-3.461,-10.17,190.823
-7,-3.411,-9.092,199.197
-12,-3.344,-4.303,153.525
-14,-3.332,-1.356,104.815
-15,-3.338,1.357,36.611
-14,-3.356,3.518,-55.513
-12,-3.382,4.668,-127.133
-10,-3.41,4.403,-152.622
-6,-3.433,2.966,-190.83
-2,-3.447,0.747,-188.946
1,-3.446,-2.287,-139.926
5,-3.427,-5.399,-116.814
7,-3.396,-7.772,-57.013
7,-3.351,-9.794,23.513
7,-3.296,-10.972,65.558
6,-3.243,-10.519,86.461
3,-3.192,-9.276,122.118
1,-3.15,-7.311,96.412
-1,-3.124,-4.373,50.723
-2,-3.111,-1.64,-14.525
-2,-3.114,0.588,-82.981
-2,-3.128,2.349,-132.465
0,-3.145,2.748,-191.277
3,-3.161,1.903,-221.704
6,-3.172,0.411,-224.967
10,-3.17,-1.681,-232.108
13,-3.156,-4.063,-198.105
15,-3.13,-6.562,-144.947
17,-3.091,-8.701,-107.632
17,-3.045,-9.797,-51.776
17,-2.993,-10.314,-27.934
16,-2.941,-10.25,3.133
15,-2.896,-9.078,-5.59
14,-2.854,-7.516,-25.384
13,-2.822,-5.899,-48.475
12,-2.804,-4.22,-75.915
12,-2.788,-2.941,-115.733
12,-2.781,-1.73,-146.59
13,-2.782,-0.853,-192.656
14,-2.782,-0.878,-205.518
19,-2.778,-1.84,-256.23
21,-2.767,-3.247,-243.925
23,-2.751,-4.493,-235.051
25,-2.726,-5.762,-223.773
